Country,ISO3,Economy,General,Governance,Infrastructure,Innovation,Talent,AI_Readiness_Score,Global_Rank,CountryKey,Region,IsLatAm,IsPeru
Bosnia And Herzegovina,BIH,,,42.79194462416135,31.46181606730479,0.1647269471799463,,24.80616254621536,102,24,Other Regions,False,False
Guinea,GIN,,,17.48229997344156,56.81949020735549,0.0,,24.76726339359902,103,85,Other Regions,False,False
Greece,GRC,7.000000000000001,7.142857142857142,36.13099279391393,55.6592942383341,3.6960608773500447,37.35395189003436,24.497192823748264,104,79,Other Regions,False,False
Bangladesh,BGD,0.0,3.061224489795918,44.54076205107396,49.72914676313948,1.3809310653536258,47.4020618556701,24.35235437083885,105,15,Other Regions,False,False
Mauritania,MRT,,,36.81819909535562,36.025025075403946,0.0,,24.281074723586524,106,129,Other Regions,False,False
Timor-Leste,TLS,,,40.48712552784136,32.22200165803566,0.0035810205908683,,24.23756940215597,107,203,Other Regions,False,False
St. Vincent And The Grenadines,VCT,,,33.2790335039681,38.95223820782473,0.0,,24.07709057059761,108,192,Other Regions,False,False
Chile,CHL,6.0,9.183673469387756,51.05592375927071,58.37329752857119,0.8706356311548792,16.78694158075601,23.71174532819009,109,39,Latin America & Caribbean,True,False
Serbia,SRB,1.0,5.1020408163265305,38.02103471494765,57.56220887584946,1.4082363473589974,38.75945017182131,23.64216182105066,110,176,Other Regions,False,False
New Zealand,NZL,4.0,7.142857142857142,35.69785989653249,58.04860960265788,2.628469113697404,34.26116838487973,23.62982735677077,111,146,Other Regions,False,False
Madagascar,MDG,,,37.23093120532322,32.52638647198561,0.0071620411817367,,23.254826572830197,112,121,Other Regions,False,False
Qatar,QAT,0.0,6.122448979591836,39.15780425824805,53.85823410491509,1.8187108325872876,38.446735395189,23.23398892842188,113,167,Other Regions,False,False
Croatia,HRV,16.0,7.142857142857142,30.63198096198182,45.46751340409345,1.2291853178155774,38.42611683848798,23.149608944205998,114,48,Other Regions,False,False
Ukraine,UKR,2.0,6.122448979591836,50.98363562911288,50.22540106411042,1.0872873769024172,27.78350515463917,23.033713034059456,115,213,Other Regions,False,False
Liberia,LBR,,,12.297091084326397,39.38815078882048,0.0035810205908683,40.20618556701031,22.97375211518701,116,115,Other Regions,False,False
Slovakia,SVK,4.0,4.081632653061225,35.87971461541946,48.14660448861896,1.3115487914055506,43.22680412371134,22.77438411203609,117,180,Other Regions,False,False
Burkina Faso,BFA,,,15.565385660729753,52.70240916585763,0.0035810205908683,,22.757125282392757,118,30,Other Regions,False,False
Suriname,SUR,,,31.875212837660957,36.06294922672711,0.0,,22.646054021462685,119,194,Latin America & Caribbean,True,False
Malta,MLT,6.0,10.20408163265306,58.714674157734855,52.944814422866585,1.5590868397493285,6.0,22.570442842167303,120,126,Other Regions,False,False
Argentina,ARG,2.0,7.142857142857142,43.24037138202819,42.1748603200419,0.7309758281110117,39.79037800687285,22.51324044665185,121,8,Latin America & Caribbean,True,False
Ghana,GHA,3.0,3.061224489795918,24.68727379266304,42.203263793967714,0.0698299015219337,59.439862542955325,22.076909086817324,122,77,Other Regions,False,False
Lebanon,LBN,,,11.03106544541337,27.66678160534597,0.3366159355416294,48.453608247422686,21.872017808430915,123,113,Other Regions,False,False
Mozambique,MOZ,,,14.405439352391404,50.943454472963744,0.0107430617726051,,21.786545629042585,124,139,Other Regions,False,False
Kenya,KEN,3.0,2.0408163265306123,31.49676008903985,41.87201157473076,0.0662488809310653,51.5360824742268,21.668653224243183,125,106,Other Regions,False,False
Seychelles,SYC,,,34.541897473822935,30.356215734724767,0.0035810205908683,,21.633898076379523,126,177,Other Regions,False,False
Nigeria,NGA,1.0,3.061224489795918,26.00164526477853,32.2400629375399,0.8724261414503134,65.96907216494846,21.52407183308552,127,149,Other Regions,False,False
Romania,ROU,1.0,6.122448979591836,44.3303279405657,44.55626789793756,1.3146821844225605,31.563573883161517,21.481216814279865,128,169,Other Regions,False,False
St. Lucia,LCA,,,18.634361180328483,24.14993866091261,,,21.392149920620547,129,191,Other Regions,False,False
Peru,PER,1.0,5.1020408163265305,41.25411803231356,55.18606225744779,0.2094897045658012,23.32646048109965,21.01302854862556,130,161,Latin America & Caribbean,True,True
Macau,MAC,,,39.55749231052972,21.918529814655045,0.64816472694718,,20.70806228404398,131,120,Other Regions,False,False
Bulgaria,BGR,1.0,6.122448979591836,38.9714200939806,41.61722374866208,1.2381378692927485,34.98969072164948,20.656486902196125,132,29,Other Regions,False,False
Indonesia,IDN,4.0,7.142857142857142,37.63850885616068,48.0769891889021,5.779319606087736,20.5360824742268,20.528959544705742,133,94,Other Regions,False,False
Jamaica,JAM,,,22.587852854279745,52.48124419654775,0.0429722470904207,6.18556701030928,20.3244090770568,134,101,Latin America & Caribbean,True,False
Armenia,ARM,6.0,4.081632653061225,23.14748560146282,43.820254410952536,0.0125335720680393,44.24742268041237,20.21822148632616,135,9,Other Regions,False,False
Jordan,JOR,1.0,5.1020408163265305,38.47630832575008,55.16009678222704,1.9082363473589972,19.56701030927836,20.2022820968235,136,104,Other Regions,False,False
Dr Congo,COD,,,13.02971160241878,47.4396146292554,0.0,,20.156442077224728,137,57,Other Regions,False,False
North Korea,PRK,,,0.0,1.121278891439817,0.0107430617726051,79.38144329896906,20.12836631304537,138,150,Other Regions,False,False
Belize,BLZ,,,13.400038675854006,46.7513483467072,0.0,,20.05046234085373,139,19,Latin America & Caribbean,True,False
Colombia,COL,1.0,6.122448979591836,40.74213518536474,52.94187372453317,0.5174574753804834,18.848797250859107,20.028785435954887,140,43,Latin America & Caribbean,True,False
Guyana,GUY,,,17.733915340385337,41.64416070036384,0.0,,19.79269201358306,141,87,Latin America & Caribbean,True,False
Mexico,MEX,3.0,7.142857142857142,40.367930632133,48.96609918625384,1.4811996418979407,17.453608247422682,19.735282475094102,142,131,Latin America & Caribbean,True,False
Laos,LAO,,,14.797010374318818,44.353314640050776,0.0071620411817367,,19.719162351850443,143,111,Other Regions,False,False
Maldives,MDV,,,35.310464919498834,23.33098653870368,0.0035810205908683,,19.548344159597796,144,124,Other Regions,False,False
Azerbaijan,AZE,0.0,2.0408163265306123,28.08503945016965,47.37484376648332,0.1450313339301701,35.707903780068726,18.892272442863742,145,12,Other Regions,False,False
Myanmar,MMR,,,15.532056896582189,48.49978830203639,0.0823634735899731,11.340206185567013,18.863603714443894,146,140,Other Regions,False,False
Latvia,LVA,1.0,3.061224489795918,38.40861338851633,52.99452225034638,1.0662488809310653,16.099656357388316,18.771710894496334,147,112,Other Regions,False,False
Guatemala,GTM,,,19.483248430746468,35.94373230900082,0.0071620411817367,19.587628865979383,18.7554429117271,148,84,Latin America & Caribbean,True,False
Lesotho,LSO,,,12.256393364900008,42.68160233374786,0.0035810205908683,,18.313858906412914,149,114,Other Regions,False,False
São Tomé and Principe,STP,,,17.888823738484746,18.388330212900986,,,18.138576975692864,150,198,Other Regions,False,False
Antigua and Barbuda,ATG,,,18.575816632017347,17.55886335312735,,,18.06733999257235,151,7,Other Regions,False,False
Sri Lanka,LKA,2.0,2.0408163265306123,23.35136281639056,39.79713822966589,0.3509400179051029,40.5085910652921,18.008141409297377,152,189,Other Regions,False,False
Tunisia,TUN,2.0,3.061224489795918,24.991208150038297,46.76351698494764,1.612354521038496,29.512027491408933,17.990055272871547,153,207,Other Regions,False,False
Philippines,PHL,1.0,4.081632653061225,45.46906171416993,46.90589956774655,0.5192479856759177,7.893470790378007,17.644885451838604,154,162,Other Regions,False,False
Zimbabwe,ZWE,,,18.400663603073465,33.678199263257405,0.0107430617726051,,17.363201976034492,155,227,Other Regions,False,False
Pakistan,PAK,1.0,3.061224489795918,26.90035986392385,37.57463674457118,2.0398388540734107,31.91752577319588,17.08226428759337,156,155,Other Regions,False,False
Ethiopia,ETH,1.0,0.0,17.991298067398937,34.33464069064987,0.0716204118173679,48.44329896907217,16.973476356489723,157,65,Other Regions,False,False
Bahrain,BHR,7.000000000000001,5.1020408163265305,30.577287591465137,55.72798918196448,1.037600716204118,2.0,16.907486384326713,158,14,Other Regions,False,False
Mauritius,MUS,8.0,5.1020408163265305,29.335305023862645,56.46238647074588,0.544762757385855,1.0,16.740749178053484,159,130,Other Regions,False,False
Tajikistan,TJK,,,15.888961809831066,33.502236439777214,0.0071620411817367,,16.466120096930005,160,200,Other Regions,False,False
Malawi,MWI,,,12.3184973466464,36.52894667961613,0.0071620411817367,,16.28486868914809,161,122,Other Regions,False,False
Comoros,COM,,,17.821394619699316,30.980252312540664,0.0,,16.267215644079993,162,44,Other Regions,False,False
Eritrea,ERI,,,0.761976238204,0.0,0.0,62.88659793814433,15.912143544087082,163,62,Other Regions,False,False
Libya,LBY,,,10.000320949843642,37.4465726913556,0.0644583706356311,,15.837117337278292,164,116,Other Regions,False,False
Algeria,DZA,0.0,2.0408163265306123,19.314128291799044,36.23242731949403,1.212623097582811,35.37457044673539,15.695760913690316,165,3,Other Regions,False,False
Palau,PLW,,,19.83283694131745,11.385263752997425,,,15.609050347157435,166,156,Other Regions,False,False
Namibia,NAM,,,18.601848433690808,28.094087817516534,0.0035810205908683,,15.566505757266071,167,141,Other Regions,False,False
Oman,OMN,0.0,4.081632653061225,33.12007885913949,50.08810774809406,0.6342882721575649,4.457044673539519,15.396858700998642,168,154,Other Regions,False,False
Gabon,GAB,,,9.055780646337288,35.293745658227245,0.0,,14.783175434854844,169,73,Other Regions,False,False
Mali,MLI,,,11.213202788560494,33.108195714065744,0.0071620411817367,,14.77618684793599,170,125,Other Regions,False,False
South Africa,ZAF,6.0,3.061224489795918,31.18560892099648,38.78970360642818,1.1947179946284692,8.226804123711341,14.743009855926733,171,184,Other Regions,False,False
Guinea-Bissau,GNB,,,16.882344807177862,27.227389057825253,0.0,,14.703244621667706,172,86,Other Regions,False,False
Iran,IRN,0.0,5.1020408163265305,35.08454059478692,34.02808368514795,5.023724261414503,3.0,13.706398226279315,173,95,Other Regions,False,False
Solomon Islands,SLB,,,25.341274618398018,1.3963085038969056,,,13.36879156114746,174,182,Other Regions,False,False
Benin,BEN,1.0,3.061224489795918,37.28472192645354,38.23935353387189,0.0035810205908683,0.0,13.264813495118704,175,20,Other Regions,False,False
Nauru,NRU,,,12.968897885757949,13.288701203525836,,,13.128799544641891,176,142,Other Regions,False,False
Nicaragua,NIC,,,31.80216832809141,13.875646816172118,0.0,5.6701030927835046,12.83697955926176,177,147,Latin America & Caribbean,True,False
Burundi,BDI,,,14.171489345552102,36.02390250555718,0.0035810205908683,0.5154639175257731,12.678609197306482,178,31,Other Regions,False,False
San Marino,SMR,,,21.68337312820669,15.788888766237738,0.0,,12.490753964814807,179,173,Other Regions,False,False
Morocco,MAR,0.0,2.0408163265306123,25.195349672343827,30.668029636546976,1.284243509400179,11.309278350515465,11.749619582556177,180,138,Other Regions,False,False
Equatorial Guinea,GNQ,,,11.695737409194198,11.563255220557838,,,11.629496314876018,181,61,Other Regions,False,False
Tuvalu,TUV,,,11.457922679253214,9.702389895075262,,,10.580156287164238,182,211,Other Regions,False,False
Djibouti,DJI,,,16.0895606162184,15.147527193786797,0.0,,10.412362603335064,183,54,Other Regions,False,False
Congo Republic,COG,,,15.670130944416494,15.259728049970816,0.0,,10.309952998129104,184,45,Other Regions,False,False
Gambia,GMB,,,7.649993710770662,22.942558662226016,0.0,,10.19751745766556,185,74,Other Regions,False,False
Iraq,IRQ,1.0,2.0408163265306123,24.891231796787554,24.628494627731275,1.0908683974932856,2.7388316151202745,9.398373793943836,186,96,Other Regions,False,False
French Southern Territories,ATF,,,,,,8.762886597938145,8.762886597938145,187,72,Other Regions,False,False
Sudan,SDN,,,13.397028631583414,19.943669445089395,0.1074306177260519,0.5154639175257731,8.490898152981158,188,193,Other Regions,False,False
United States Minor Outlying Islands,UMI,,,,,,8.24742268041237,8.24742268041237,189,217,Other Regions,False,False
Central African Republic,CAF,,,6.204839868122085,15.609876294673825,0.0,,7.271572054265303,190,37,Other Regions,False,False
Niger,NER,,,7.732114217213457,13.233077867618698,0.0035810205908683,,6.989591035141007,191,148,Other Regions,False,False
Micronesia,FSM,,,7.685576667147134,4.996128069503528,,,6.340852368325331,192,132,Other Regions,False,False
Chad,TCD,,,5.025570326868121,13.73849623162657,0.0,,6.254688852831563,193,38,Other Regions,False,False
Yemen,YEM,,,6.182605859409379,9.735318610580329,0.1181736794986571,6.701030927835051,5.684282269330854,194,225,Other Regions,False,False
Turkmenistan,TKM,,,4.8993123828901775,10.18956649907322,0.0,,5.0296262939878,195,209,Other Regions,False,False
Somalia,SOM,,,3.133406040620079,11.334194843325724,0.0107430617726051,,4.826114648572802,196,183,Other Regions,False,False
South Sudan,SSD,,,5.167260719921351,3.600362141032566,,,4.383811430476959,197,187,Other Regions,False,False
Haiti,HTI,,,4.885671129638669,7.0716474591847645,0.0,,3.9857728629411446,198,88,Latin America & Caribbean,True,False
Cocos (Keeling) Islands,CCK,,,,,,3.608247422680413,3.608247422680413,199,42,Other Regions,False,False
Syria,SYR,,,4.28149866155028,3.234797270433993,0.0322291853178155,,2.516175039100696,200,197,Other Regions,False,False
Afghanistan,AFG,,,3.9817160351327736,0.5272149285325232,0.0035810205908683,,1.5041706614187216,201,1,Other Regions,False,False
Puerto Rico,PRI,,,,,0.0501342882721575,,0.0501342882721575,202,166,Other Regions,False,False
Reunion,REU,,,,,0.0214861235452103,,0.0214861235452103,203,168,Other Regions,False,False
French Polynesia,PYF,,,,,0.0107430617726051,,0.0107430617726051,204,71,Other Regions,False,False
Guadeloupe,GLP,,,,,0.0071620411817367,,0.0071620411817367,205,82,Other Regions,False,False
Faroe Islands,FRO,,,,,0.0035810205908683,,0.0035810205908683,206,66,Other Regions,False,False
Guam,GUM,,,,,0.0035810205908683,,0.0035810205908683,206,83,Other Regions,False,False
Cayman Islands,CYM,,,,,0.0,,0.0,207,36,Other Regions,False,False
Martinique,MTQ,,,,,0.0,,0.0,207,128,Other Regions,False,False
French Guiana,GUF,,,,,0.0,,0.0,207,70,Other Regions,False,False
Bermuda,BMU,,,,,0.0,,0.0,207,21,Other Regions,False,False
New Caledonia,NCL,,,,,0.0,,0.0,207,145,Other Regions,False,False
South Georgia and South Sandwich Is.,SGS,,,,,0.0,,0.0,207,185,Other Regions,False,False
Montserrat,MSR,,,,,0.0,,0.0,207,137,Other Regions,False,False
United States Virgin Islands,VIR,,,,,0.0,,0.0,207,218,Other Regions,False,False
Turks and Caicos Islands,TCA,,,,,0.0,,0.0,207,210,Other Regions,False,False
Vatican,VAT,,,,,0.0,,0.0,207,222,Other Regions,False,False
